THE QUICK DOG JUMPED OVER
BLUE WATER FLOWED DOWN GENTLY
EIGHT CHILDREN RAN THROUGH MEADOW
FIND THE DARK PATH AHEAD
FOX JUMPED OVER THE LOG
GREEN VINE GREW UP WALL
WARM FIRE GLOWED IN HOME
THE WIND BLEW QUITE HARD
BRIGHT LIGHT CAME FROM DOOR
THE KING HELD GOLD RING
COLD RAIN FELL ON GROUND
THE CAT HID UNDER BED
WALK QUIETLY INTO DARK ROOM
YOUNG WIZARD READ OLD BOOK
WATCH THE MOON OVER WATER
NO ONE FOUND THE CAVE
A GREEN DRAGON FLEW HIGH
THEY WENT NORTH INTO FOG
THE WIND MADE TREE DANCE
DARK FOG COVERED THE HILL
BRAVE FOX FOUGHT THE OWL
A COLD WIND BLEW HARD
FIND THE WHITE GEM QUICKLY
THE BEAR FOUGHT WITH FURY
WHO TOOK THE DARK PATH
A CAVE OPENED NEAR TREE
RED FIRE BURNED THE BRIDGE
THE OWL FLEW INTO NIGHT
A BLUE FLAG WAVED HIGH
THE QUEEN HELD HER GOWN
LONG ROAD LED INTO MOUNTAIN
THEY FOLLOWED THE DARK TRAIL
WE RODE THROUGH THE VALLEY
THE TREE BORE DARK FRUIT
A GOLD COIN FELL QUICKLY
FOLLOW THE WHITE HAWK HOME
WIND MOVED THE DARK CLOUD
FROZEN LAKE HELD DEEP WATER
BLUE ICE COVERED THE PATH
A LONG BATTLE ENDED QUIET
OLD KING GAVE FINAL ORDER
THE GAME ENDED WITH TIE
BRIGHT ORB FELL FROM TREE
WHO WROTE ON THE WALL
A WHITE DOVE FLEW HIGH
THE WIND BLEW WITH FORCE
RED FLAG WAVED OVER WALL
EIGHT MEN WENT INTO CAVE
MARKED 4 AREA WITH FIRE
A NEW PATH OPENED WIDE
DEEP WATER HID DARK DOOR
FOLLOW THE MAP INTO DANGER
A YOUNG KING TOOK POWER
FEAR GREW IN THE CROWD
WHO WILL FIND THE DOOR
A DARK ECHO FILLED CAVE
THEY HELD THE FORT UNTIL
NIGHT BROUGHT A LOUD HOWL
WIND BLEW OUT HER TORCH
A WIDE ROAD LED HOME
BLUE GEM FELL FROM HAND
WATCH FOR THE FINAL GATE
DARK ROPE TIED THE DOOR
WHITE WING DROPPED FROM CLOUD
A BRAVE BOY RODE FORTH
WHO TOOK THE GOLD RING
A FINAL WAVE HIT LAND
ONE EYE WATCHED THEM MOVE
NEW FIRE LIT THE CAVE
A DARK FACE LOOKED BACK
RED FIRE TORE THROUGH FIELD
A THIN LINE GLOWED BRIGHT
WIND LIFTED HER DARK HAIR
THE CROW FLEW OVER HILL
ALL WENT QUIET AFTER NIGHT
OLD RUNE FELL OFF WALL
THEY DREW A WHITE LINE
HIDE THE MAP UNDER ROCK
THE NEW DAY CAME QUICK
FOG ROLLED INTO THE VALLEY
A DARK RING HELD POWER
RED ROPE TIED THE BAG
WHO CAME FROM THE COLD
A FIRE GREW FROM EMBER
THEY ALL FOUGHT FOR HONOR
A LONG DARK HALL OPENED
HER HAND HELD THE CODE
WIND CRACKED THE OLD DOOR
BLUE RIVER CUT THROUGH ROCK
FIND THE FLAG NEAR TREE
DARK WIND BLEW THE BELL
THE RUNE MEANT DARK DEED
WHO HEARD THE FINAL WORD
THE KING TORE THE PAGE
RAIN FELL OVER THE LAND
RED GEM GLOWED IN DARK
FIRE LIT THE FINAL GATE
DARK MAP HELD OLD CODE
COLD WATER RAN INTO CAVE
A BLACK DOG FLED NORTH
THE WIND ATE ALL LIGHT
WHO TORE THE FINAL PAGE
DARK ROOM HELD GOLD BOX
THE WALL GAVE ONE CLUE
GROUP 6 LEFT AT NIGHT
FOLLOW WIND INTO THE TREE
BLUE FLAG TORN FROM ROPE
A RING HELD BLUE FIRE
WALK AHEAD INTO DARK LAND
RED WINE FELL ON MAP
THE DOOR LED TO NOWHERE
HER WORD BROKE THE FINAL
NEW WATER COVERED THE PATH
WATCH THE WIND MOVE FIRE
WHO TOOK THE DARK RING
THE CODE LED TO GOLD
A LONG ECHO GREW DEEP
DARK ROOM FED HER FEAR
DARK NOTE FOUND IN BOOK
HER FACE HELD NO FEAR
WHO BLEW THE DARK HORN
THE WIND WOKE THE DEAD
DARK FLAG WAVED ON GATE
COLD HAND HELD FINAL WORD
THE ROAD LED INTO DARK
WHO HELD THE FINAL MAP
THE CODE GAVE OLD NAME
RED LIGHT BLED FROM GEM
A FOG ROLLED INTO FIELD
DARK ICE BROKE UNDER WEIGHT
THE GAME HELD ONE RULE
WHO RAN INTO DARK TREE
NEW FIRE FED THE FLAME
HER VOICE ECHOED THROUGH CAVE
WHITE WALL CRACKED FROM WIND
FIND THE OWL IN TREE
WIND BROUGHT A DARK CHANGE
BLUE MARK FELL FROM FLAG
A LONG TALE GREW DARK
THE HORN BLEW ONCE MORE
DARK POWER GREW IN RING
FINAL WAVE BROKE THE GATE
A WHITE GEM GAVE LIGHT
WHO WROTE ON OLD WALL
HER WORD WOKE THE WIND
RED ROPE HELD THE DOOR
THE KING WORE BLUE ROBE
NEW DAY CAME WITH FIRE
WHO OPENED THE FINAL GATE
HER HAND HELD FINAL CLUE
DARK ROPE WRAPPED THE BOX
BLUE WATER FED THE ROOT
THE TREE HELD A DOOR
A LONG WIND BLEW COLD
OLD RING BURNED WITH FIRE
THE DARK WAVE HIT HARD
COLD WATER RAN THROUGH FIELD
GOLD FLAG FELL INTO FOG
WIND RODE HIGH OVER HILL
THE QUEEN WORE RED ROBE
HARD ROPE WRAPPED THE POLE
TALL WALL MADE WIND ECHO
WHITE DOVE FLEW OVER TREE
A DEEP ECHO FILLED HALL
THE DOG RAN INTO DARK
A FLAME ATE WOOD QUICKLY
THE COLD AIR BLEW BACK
HER ARM FELT COLD NIGHT
WE FOUGHT HARD FOR ORDER
THE CODE BROKE THE WALL
NEW DATA WENT INTO FOLDER
8 BLUE FLAG WAVED HIGH
LOOK INTO DEEP DARK HOLE
A LONG WAR HAD ENDED
OLD CAVE HELD DARK POWER
THE FIRE BLAZED WITH MIGHT
HE FELL OVER DARK EDGE
WILD WIND MOVED THE WATER
THEY WROTE CODE IN DARK
HARD EDGE CUT THE ROPE
A TALL GATE BLOCKED WIND
HER EYE FELT DEEP FEAR
WATER DROPPED INTO DARK WELL
